5.416526943000000028e+04 1.396899999999999942e+01 8.999999999999999320e-03
5.416628117000000202e+04 1.380000000000000071e+01 5.000000000000000104e-03
5.416929529999999795e+04 1.342200000000000060e+01 6.000000000000000125e-03
5.417029985000000306e+04 1.336200000000000010e+01 7.000000000000000146e-03
5.417130831999999646e+04 1.329899999999999949e+01 7.000000000000000146e-03
5.417230468999999721e+04 1.326299999999999990e+01 8.000000000000000167e-03
5.417433221999999660e+04 1.322799999999999976e+01 8.000000000000000167e-03
5.417826049999999668e+04 1.322799999999999976e+01 7.000000000000000146e-03
5.417931863000000158e+04 1.328200000000000003e+01 8.000000000000000167e-03
5.418129714999999851e+04 1.336899999999999977e+01 8.000000000000000167e-03
5.418227128999999695e+04 1.342200000000000060e+01 1.099999999999999936e-02
5.418530801999999676e+04 1.365300000000000047e+01 6.000000000000000125e-03
5.419025869999999850e+04 1.388199999999999967e+01 5.000000000000000104e-03
5.419428338000000076e+04 1.396100000000000030e+01 6.000000000000000125e-03
5.419727846000000136e+04 1.403500000000000014e+01 6.000000000000000125e-03
5.419922376000000077e+04 1.409099999999999930e+01 7.000000000000000146e-03
5.420231859000000259e+04 1.422700000000000031e+01 7.000000000000000146e-03
5.420433320999999705e+04 1.435999999999999943e+01 8.999999999999999320e-03
5.420724712000000000e+04 1.459200000000000053e+01 8.000000000000000167e-03
5.421126709000000119e+04 1.485699999999999932e+01 6.000000000000000125e-03
5.421323197999999684e+04 1.494200000000000017e+01 7.000000000000000146e-03
5.421824702000000252e+04 1.515099999999999980e+01 5.000000000000000104e-03
5.422426563999999780e+04 1.535999999999999943e+01 7.000000000000000146e-03
5.422629718000000139e+04 1.542099999999999937e+01 6.000000000000000125e-03
5.423127116999999998e+04 1.558799999999999919e+01 6.000000000000000125e-03
5.423918637000000308e+04 1.584500000000000064e+01 6.000000000000000125e-03
5.424615851000000112e+04 1.605300000000000082e+01 6.000000000000000125e-03
5.425617932000000292e+04 1.638400000000000034e+01 5.000000000000000104e-03
